what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429928494323
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1429928498816
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1429928498863
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1429928499276
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1429928499461
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1429928499490
activated,view,com.altera.sbtgui.launch,14.0.0.200,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1429928505866
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429928505920
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429928506528
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1429928506532
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1429928507464
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --go, --accept-bad-sysid, /cygdrive/c/banothu/FinalProject-2015-04-24/FinalProject/lab8_usb/software/usb_kb/usb_kb.elf] return code: 4, 'other error'",1429928512210
error,log,,,"Downloading ELF Process failed",1429928512212
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429928512231
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429928514853
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1429928515427
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429928522121
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429928524459
