what,kind,bundleId,bundleVersion,description,time
locale,sysinfo,,,"zh_CN",1427139555361
processors,sysinfo,,,"4",1427139555361
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1427139555361
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1427139555361
java.specification.name,sysinfo,,,"Java Platform API Specification",1427139555361
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1427139555361
java.specification.version,sysinfo,,,"1.6",1427139555361
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1427139555361
java.version,sysinfo,,,"1.6.0_23",1427139555361
java.vm.info,sysinfo,,,"mixed mode",1427139555361
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1427139555361
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1427139555361
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1427139555361
java.vm.specification.version,sysinfo,,,"1.0",1427139555361
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1427139555361
java.vm.version,sysinfo,,,"19.0-b09",1427139555361
started,bundle,org.eclipse.cdt.codan.ui,2.0.1.201202111925,"org.eclipse.cdt.codan.ui",1427139555674
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1427139556378
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1427139556419
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427139556612
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427139562783
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1427139567564
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1427139569142
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1427139569407
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1427139569456
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1427139569986
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1427139570220
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1427139570269
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427139579417
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427139647407
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427139659874
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427139678322
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1427139682131
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1427139722501
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1427139725564
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427139744765
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427141304258
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1427141308078
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1427141321295
